19.61 1.42 -1.90
18.66 0.89 -0.80
18.05 -3.03 0.22
21.30 1.56 -0.62
21.15 0.54 -1.03
20.54 -0.10 -2.56
19.99 -2.46 -1.42
10.08 -0.16 0.55
14.85 0.36 1.49
21.31 2.44 -0.21
21.87 5.58 -0.28
25.12 2.77 -1.05
25.11 2.46 -2.56
23.08 5.77 -2.46
18.41 -0.83 -2.47
20.85 0.16 -1.60
19.07 0.49 -1.82
18.95 -1.24 -1.70
22.01 -0.61 -2.15
19.03 -0.79 -1.44
17.46 0.21 -1.65
15.80 -2.02 -1.67
14.16 -3.57 -2.15
15.85 -5.42 0.26
14.69 -0.20 0.81
16.30 -1.28 0.72
17.70 -0.52 0.18
16.07 1.41 -0.61
18.16 1.55 0.09
17.85 1.97 -0.28
17.95 1.18 -1.03
18.35 2.46 0.01
20.98 1.43 -0.39
23.04 0.56 -1.38
21.77 -0.59 -2.16
22.67 2.13 -1.73
21.39 1.49 -1.64
17.43 5.66 -0.99
21.46 2.87 -1.49
18.86 1.53 -1.67
19.98 -0.90 -1.92
19.21 0.56 0.61
20.23 1.90 -0.11
16.38 1.77 0.26
18.48 3.63 0.83
20.81 2.08 -0.32
20.82 -1.88 -2.33
19.18 -1.44 -2.32
13.30 -2.89 -2.18
18.18 2.80 -1.26
18.41 -0.19 -1.16
19.17 -0.07 -0.39
18.47 2.36 -0.61
19.07 2.38 -0.77
16.95 2.83 -0.67
18.78 1.28 0.07
22.77 0.63 -0.58
17.32 -0.76 -0.68
19.66 0.69 -0.59
13.94 0.66 0.15
17.12 -1.84 1.06
18.97 -1.90 0.00
17.74 0.39 -1.36
16.62 0.28 -1.18
20.61 -0.65 -0.79
21.40 -1.41 -0.98
20.36 1.25 -1.02
22.91 -0.61 -1.07
22.93 0.19 -1.13
21.48 -2.42 -1.31
22.66 0.65 -2.24
19.41 3.95 -1.30
20.96 0.59 -0.48
23.53 0.65 -0.60
22.58 0.13 -2.13
20.35 0.94 -2.77
15.17 1.00 -0.31
21.62 2.90 0.57
15.57 0.94 1.79
19.05 2.18 0.64
18.35 0.12 0.03
20.01 1.38 -0.58
20.30 3.37 -0.98
21.39 1.08 0.62
19.32 -0.92 1.06
19.09 -0.82 1.02
17.63 -0.73 -0.34
16.12 -1.23 -1.21
15.69 2.48 0.42
22.40 -0.05 -0.36
19.76 0.33 -2.53
21.26 -1.08 0.51
25.71 -3.25 -0.29
23.95 -1.30 -1.35
21.77 1.12 0.88
22.88 -0.68 0.63
22.32 1.20 -0.48
21.25 2.30 -1.14
24.79 1.38 -1.54
22.96 2.48 -0.98
23.12 4.64 -1.00
25.43 2.76 -1.96
22.89 1.99 -2.29
19.29 4.31 -0.82
19.39 2.33 -0.05
18.78 0.40 0.99
18.77 2.11 0.30
17.78 0.58 0.22
18.61 0.09 0.03
18.48 -0.24 -0.27
20.18 -0.06 -0.23
19.08 3.68 -0.14
18.46 2.41 -1.21
19.38 3.55 -1.66
17.08 5.88 -1.16
17.99 2.58 1.62
21.99 2.57 -0.86
18.40 2.30 0.68
16.75 0.40 1.51
20.10 2.83 0.97
22.17 1.73 -0.39
21.99 1.45 -1.03
21.74 -1.05 -1.12
21.75 2.93 -0.70
19.80 1.19 -0.37
23.29 1.20 -1.86
24.82 -0.84 -2.30
20.54 0.65 -2.20
20.08 -3.03 -2.31
18.22 -5.77 -2.34
13.40 1.92 -1.03
17.39 -0.80 -0.54
19.13 0.06 -1.66
15.64 2.32 -1.67
10.77 -1.22 -0.90
11.89 -1.09 1.45
17.17 2.90 1.46
18.32 0.64 1.23
15.91 0.59 0.98
15.12 0.20 0.71
15.26 -0.60 0.19
17.59 0.40 -0.34
15.46 3.71 -0.62
22.09 0.80 -0.33
21.10 -0.41 -1.36
17.79 -3.63 0.78
14.89 1.70 1.15
16.88 1.28 1.39
17.80 1.70 1.45
17.79 -1.37 1.30
13.99 -1.47 1.51
18.99 -0.15 -0.07
10.49 3.82 0.33
15.40 -0.57 0.94
14.47 -2.03 0.46
14.49 -2.34 0.33
15.58 -1.49 0.27
17.27 0.39 -0.11
14.43 -0.64 -0.92
11.60 -1.30 -1.07
11.48 -1.13 0.28
16.28 1.27 0.78
23.62 -0.64 -1.43
17.24 -1.67 -0.55
18.63 -3.21 -0.03
21.06 4.00 -0.51
18.97 3.02 -0.13
21.13 2.09 -0.90
21.21 5.05 -2.60
18.89 6.57 -1.09
18.75 0.27 -0.45
18.65 -5.61 -0.55
19.73 -0.97 -0.06
20.28 2.36 -0.71
17.36 1.67 0.24
22.84 2.79 -1.46
20.42 -0.32 -1.48
18.36 3.45 -0.24
21.08 1.30 -2.08
17.13 -1.87 -0.77
20.02 1.69 0.22
16.91 -0.44 -0.46
22.71 -2.14 -0.76
