Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
02,2022,03,30,15,45,07,-0.325,-0.362,0.993,48.926,50.977,50.609,-594.625,-159.716,16196.92,10.222
02,2022,03,30,15,45,08,-0.539,-0.401,1.383,48.458,48.636,49.366,-356.471,-313.156,15943.82,10.222
02,2022,03,30,15,45,08,-0.653,-0.41,1.301,52.174,50.049,49.254,-483.703,332.643,15754.16,10.222
02,2022,03,30,15,45,09,-0.596,-0.261,1.102,47.635,48.039,50.541,-476.93,-529.761,15835.56,10.222
02,2022,03,30,15,45,09,-0.269,-0.398,1.181,49.371,46.471,51.534,-396.934,-145.604,15926.79,10.222
02,2022,03,30,15,45,10,-0.613,-0.289,1.076,48.458,48.017,51.263,-685.559,-517.637,16155.22,10.222
02,2022,03,30,15,45,10,-0.39,-0.181,0.311,48.191,47.465,49.818,-705.107,-319.304,16219.67,10.222
02,2022,03,30,15,45,11,-0.483,-0.317,1.139,49.927,50.734,50.179,46.239,-379.728,15396.7,10.222
02,2022,03,30,15,45,11,-0.287,-0.493,1.62,48.792,50.314,51.173,-99.521,-637.977,16015.85,10.222
02,2022,03,30,15,45,12,-0.738,-0.429,1.303,47.835,47.951,49.095,-456.954,-56.968,16012.32,10.222
02,2022,03,30,15,45,12,-0.277,-0.46,1.118,48.636,47.664,50.27,-434.035,-58.615,16051.23,10.222
02,2022,03,30,15,45,13,-0.558,-0.362,1.007,50.149,49.298,50.721,-362.998,-191.574,15847.92,10.222
02,2022,03,30,15,45,13,-0.509,-0.369,1.149,48.414,47.222,50.88,-459.797,-292.946,15869.36,10.222
02,2022,03,30,15,45,14,-0.827,-0.413,1.256,49.526,49.387,51.083,-87.714,46.63,15709.03,10.222
02,2022,03,30,15,45,14,-0.536,-0.449,1.32,49.549,49.519,50.112,-199.027,-423.796,15763.9,10.222
02,2022,03,30,15,45,15,-0.481,-0.363,0.93,49.615,48.061,49.389,-316.962,-69.905,15909.8,10.222
02,2022,03,30,15,45,15,-0.347,-0.392,1.515,47.746,46.736,49.773,-84.125,-619.072,15811.49,10.222
